Code;Description
998538;All Services Support services Cleaning of transportation equipment
998539;All Services Support services Other cleaning services nowhere else classified
998540;All Services Support services Packaging services of goods for others
998541;All Services Support services Parcel packing and gift wrapping
998542;All Services Support services Coin and currency packing services
998543;All Services Support services Coin and currency packing services
998549;All Services Support services Other packaging services nowhere else classified
998551;All Services Support services Reservation services for transportation
998552;All Services Support services Reservation services for accommodation, cruises and package tours
998553;All Services Support services Reservation services for convention centres, congress centres and exhibition halls
998554;All Services Support services Reservation services for event tickets, cinema halls, entertainment and recreational services and other reservation services
998555;All Services Support services Tour operator services
998556;All Services Support services Tourist guide services
998557;All Services Support services Tourism promotion and visitor information services
998559;All Services Support services Other travel arrangement and related services nowhere else classified
998591;All Services Support services Credit reporting and rating services
998592;All Services Support services Collection agency services
998593;All Services Support services Telephone-based support services
998594;All Services Support services Combined office administrative services
998595;All Services Support services Specialised office support services such as duplicating services, mailing services, document preparation and the like
998596;All Services Support services Events, Exhibitions, Conventions and trade shows organisation and assistance services
998597;All Services Support services Landscape care and maintenance services
998598;All Services Support services Other information services nowhere else classified
998599;All Services Support services Other support services nowhere else classified
998611;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Support services to crop production
998612;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Animal husbandry services
998613;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Support services to hunting
998614;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Support services to forestry and logging
998615;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Support services to fishing
998619;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Other support services to agriculture, hunting, forestry and fishing
998621;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Support services to oil and gas extraction
998622;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Support services to other mining nowhere else classified
998631;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Support services to electricity transmission and distribution
998632;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Support services to gas distribution
998633;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Support services to water distribution
